idx,varname,varlabel
107,ln_NTLpc2013,Log NTL per capita in 2013
108,ln_NTLpc2014,Log NTL per capita in 2014
109,ln_NTLpc2015,Log NTL per capita in 2015
110,ln_NTLpc2016,Log NTL per capita in 2016
111,ln_NTLpc2017,Log NTL per capita in 2017
112,ln_NTLpc2018,Log NTL per capita in 2018
113,ln_NTLpc2019,Log NTL per capita in 2019
114,ln_NTLpc2020,Log NTL per capita in 2020
115,ln_t400NTLpc2012,Trend log NTL per capita in 2012
116,ln_t400NTLpc2013,Trend log NTL per capita in 2013
117,ln_t400NTLpc2014,Trend log NTL per capita in 2014
118,ln_t400NTLpc2015,Trend log NTL per capita in 2015
119,ln_t400NTLpc2016,Trend log NTL per capita in 2016
120,ln_t400NTLpc2017,Trend log NTL per capita in 2017
121,ln_t400NTLpc2018,Trend log NTL per capita in 2018
122,ln_t400NTLpc2019,Trend log NTL per capita in 2019
123,ln_t400NTLpc2020,Trend log NTL per capita in 2020
124,co2015,Estimated carbon dioxide in 2015
125,co2016,Estimated carbon dioxide in 2016
126,co2017,Estimated carbon dioxide in 2017
127,co2018,Estimated carbon dioxide in 2018
128,co2019,Estimated carbon dioxide in 2019
129,co2020,Estimated carbon dioxide in 2020
130,tr400_co2015,Trend estimated carbon dioxide in 2015
131,tr400_co2016,Trend estimated carbon dioxide in 2016
132,tr400_co2017,Trend estimated carbon dioxide in 2017
133,tr400_co2018,Trend estimated carbon dioxide in 2018
134,tr400_co2019,Trend estimated carbon dioxide in 2019
135,tr400_co2020,Trend estimated carbon dioxide in 2020
136,airTemp2012.mean,Mean Air Temperature in Celcius in 2012
137,airTemp2013.mean,Mean Air Temperature in Celcius in 2013
138,airTemp2014.mean,Mean Air Temperature in Celcius in 2014
139,airTemp2015.mean,Mean Air Temperature in Celcius in 2015
140,airTemp2016.mean,Mean Air Temperature in Celcius in 2016
141,airTemp2017.mean,Mean Air Temperature in Celcius in 2017
142,airTemp2012.min,Minimum Air Temperature in Celcius in 2012
143,airTemp2013.min,Minimum Air Temperature in Celcius in 2013
144,airTemp2014.min,Minimum Air Temperature in Celcius in 2014
145,airTemp2015.min,Minimum Air Temperature in Celcius in 2015
146,airTemp2016.min,Minimum Air Temperature in Celcius in 2016
147,airTemp2017.min,Minimum Air Temperature in Celcius in 2017
148,airTemp2012.max,Maximum Air Temperature in Celcius in 2012
