prov_id,prov,capital,dep,dep_id,dep_prov,n_mun,gadm_name,sources
218,Gualberto Villarroel,San Pedro de Curahuara,La Paz,4,La Paz-Gualberto Villarroel,3,Gualberto Villarroel,https://es.wikipedia.org/wiki/Departamento_de_La_Paz_(Bolivia) ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia
219,José Manuel Pando,Santiago de Machaca,La Paz,4,La Paz-José Manuel Pando,2,General José Manuel Pando,https://es.wikipedia.org/wiki/Departamento_de_La_Paz_(Bolivia) ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-la-paz
220,Caranavi,Caranavi,La Paz,4,La Paz-Caranavi,2,Caranavi,https://es.wikipedia.org/wiki/Departamento_de_La_Paz_(Bolivia) ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia
301,Cercado,Cochabamba,Cochabamba,3,Cochabamba-Cercado,1,Cercado,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
302,Campero,Aiquile,Cochabamba,3,Cochabamba-Campero,3,Campero,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
303,Ayopaya,Independencia,Cochabamba,3,Cochabamba-Ayopaya,3,Ayopaya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
304,Esteban Arze,Tarata,Cochabamba,3,Cochabamba-Esteban Arze,4,Esteban Arze,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://www.educa.com.bo/geografia/provincia-esteban-arze-mapa ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
305,Arani,Arani,Cochabamba,3,Cochabamba-Arani,2,Arani,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
306,Arque,Arque,Cochabamba,3,Cochabamba-Arque,2,Arque,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
307,Capinota,Capinota,Cochabamba,3,Cochabamba-Capinota,3,Capinota,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
308,Germán Jordán,Cliza,Cochabamba,3,Cochabamba-Germán Jordán,3,Germán Jordán,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
309,Quillacollo,Quillacollo,Cochabamba,3,Cochabamba-Quillacollo,5,Quillacollo,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
310,Chapare,Sacaba,Cochabamba,3,Cochabamba-Chapare,3,Chapare,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
311,Tapacarí,Tapacarí,Cochabamba,3,Cochabamba-Tapacarí,1,Tapacarí,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
312,Carrasco,Totora,Cochabamba,3,Cochabamba-Carrasco,6,Carrasco,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
313,Mizque,Mizque,Cochabamba,3,Cochabamba-Mizque,3,Mizque,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
314,Punata,Punata,Cochabamba,3,Cochabamba-Punata,5,Punata,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
315,Bolívar,Bolívar,Cochabamba,3,Cochabamba-Bolívar,1,Bolivar,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
316,Tiraque,Tiraque,Cochabamba,3,Cochabamba-Tiraque,2,Tiraque,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Cochabamba ; https://bo.reyqui.com/2017/06/departamento-de-cochabamba-provincias-y.html
401,Cercado,Oruro,Oruro,5,Oruro-Cercado,4,Cercado,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
402,Eduardo Avaroa,Challapata,Oruro,5,Oruro-Eduardo Avaroa,2,Abaroa,https://es.wikipedia.org/wiki/Provincia_de_Abaroa ; https://en.wikipedia.org/wiki/Oruro_Department ; https://www.educa.com.bo/content/departamento-de-oruro
403,Carangas,Corque,Oruro,5,Oruro-Carangas,2,Carangas,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
404,Sajama,Curahuara de Carangas,Oruro,5,Oruro-Sajama,2,Sajama,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
405,Litoral,Huachacalla,Oruro,5,Oruro-Litoral,5,Litoral,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department ; https://www.educa.com.bo/content/departamento-de-oruro
406,Poopó,Poopó,Oruro,5,Oruro-Poopó,3,Poopó,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
407,Pantaleón Dalence,Huanuni,Oruro,5,Oruro-Pantaleón Dalence,2,Pantaleón Dalence,https://en.wikipedia.org/wiki/Oruro_Department ; https://stesa.com/detail/2018-11-15-15207/Provincias_del_Departamento_de_Oruro.html
408,Ladislao Cabrera,Salinas de Garci Mendoza,Oruro,5,Oruro-Ladislao Cabrera,2,Ladislao Cabrera,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
409,Sabaya,Sabaya,Oruro,5,Oruro-Sabaya,3,Sabaya,https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Oruro ; https://www.educa.com.bo/content/departamento-de-oruro
410,Saucarí,Toledo,Oruro,5,Oruro-Saucarí,1,Saucarí,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
411,Tomás Barrón,Eucaliptus,Oruro,5,Oruro-Tomás Barrón,1,Tomás Barrón,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department
412,Sud Carangas,Santiago de Andamarca,Oruro,5,Oruro-Sud Carangas,2,Sur Carangas,https://es.wikipedia.org/wiki/Departamento_de_Oruro ; https://en.wikipedia.org/wiki/Oruro_Department ; https://www.educa.com.bo/content/departamento-de-oruro
