prov_id,prov,dep,dep_id,dep_prov,imds,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
101,Oropeza,Chuquisaca,2,Chuquisaca-Oropeza,66.71476402540495,72.35112764049627,44.40201664837448,79.5478963713118,77.46943618757392,83.86747287191014,76.1373717038302,76.76680340594885,57.6780694852391,61.77733116827493,68.24261081387257,59.05231699537573,89.00214810324287,49.99104390996547,78.98199537865105,25.163635114981933,-0.0435725987041741,-0.0080573405314904,-0.1627823615871864,-0.0891440590637013,-0.071733475153957,0.0255296159376308,0.0473423595284049,0.0484284150311647,-0.0604749137156627,-0.1041259457670596,0.0887690614466175,-0.1634063878718647,-0.0375354730950994,-0.0529129866420984,0.0388353867917327,-0.0748492100883072,-0.137005943090224,0.0491929373525378,-0.0453680761724224,-0.0638846733706099,0.089838851133715,-0.0480134006441212,-0.1670460095915199,-0.0003146725006733,-0.0810400893883656,-0.0556120714899728,0.0521549500427713,0.1782171767394905,0.0864464409592929,-0.0696476460862976,0.0302934484632691,0.0009064523288841,0.0023426015154222,-0.0440668399289112,-0.1035534075073112,-0.1556228579968105,0.0741312982279468,-0.1739306449382389,-0.1411971852910247,0.122722049326408,-0.149055979684669,0.051610411729993,-0.1389280050811855,-0.011960354595926,0.0867292328289559,-0.0960703909283442,-0.0675768884667205,0.1270274197317769,-0.0787391708386412,-0.1268312463182391,0.0157569296231606,0.0229289998392358,0.0430808169311681,0.2450465157204847,0.0944087104983415,-0.0127252451456757,0.0165017102189424,-0.1615320802586886,-0.0851836762059918,-0.0198610770688238,0.0409672824225043,0.0040348118407433,-0.1099182447167163,-0.3372696307542461
102,Azurduy,Chuquisaca,2,Chuquisaca-Azurduy,39.07116552503523,8.291352220767191,40.58417579784941,72.1069734784626,37.92312987902425,67.22966357102311,16.734075462768665,28.92578366682189,30.759657340681173,9.314243663789922,37.91246413266446,20.690007460907783,75.72230545583434,49.40423037061252,80.83154706564352,9.609587730707595,0.0159143092525376,-0.0018666709731435,-0.1493258871719059,-0.0786630399863833,0.0040639492592479,-0.0083452280149702,0.0440432393600503,0.0785708536440988,-0.0001722730922394,-0.063809415545369,0.0497314791704046,-0.1610855460824807,0.0005216011762903,-0.0444235469308379,0.0363854911382094,-0.0722073562643575,-0.1512931295111329,0.0438077653684512,-0.0965939858121527,-0.0671738213663161,0.0491839220038751,-0.0463772845031097,-0.1908309212753918,0.0206718247773165,-0.0795647728109599,-0.0493582183358998,0.0990660871963118,0.1962723504299857,0.0507964821136925,-0.1161968338018764,0.0072373619807917,-0.0348692230299476,0.0135065223385498,-0.0233688150298153,-0.1583659471904392,-0.1579400999373202,0.0676267974863425,-0.1419469242282887,-0.1007142588232688,0.1260213747358516,-0.1382478643327525,0.0293522853594277,-0.1537988381879644,-0.0099918174586091,0.0944698702142013,-0.0862236222253526,-0.088534925552844,0.1083907805189488,-0.0850461840251134,-0.1200635159044583,0.0059541798325428,-0.0232033901926943,0.0287316931916198,0.2392899842563922,0.0575714505904617,-0.0296853753961848,0.0257646731319495,-0.1689535083263035,-0.1050816520569235,-0.0243665016830318,0.0569112467291717,0.0112801962043419,-0.08428828557728,-0.3118353784096898
103,Zudáñez,Chuquisaca,2,Chuquisaca-Zudáñez,45.79726976866736,22.44094374960284,35.78541173889879,72.53958967353317,56.4786805457844,69.95222681304185,32.52720106613704,38.3547859624376,34.87160807660542,16.37564674270375,43.90100726746099,27.745606889014336,79.80765196519806,66.22506576032144,79.51727102244222,10.574225836727958,-0.0214509327875841,0.0158570929309367,-0.1730456216945187,-0.088382743312204,-0.0414494260503996,0.0117005054203997,0.0416021685080293,0.078006422917233,-0.0310458763722155,-0.0914373973069455,0.0708174444621165,-0.1745163050272027,-0.03211261603656,-0.0716855745320126,0.0403279067938586,-0.0897786157258949,-0.1440471654181902,0.0527173192853366,-0.0646146293030536,-0.0583235232732474,0.0736585507914302,-0.0378975746880362,-0.179284143954194,0.0107739086241427,-0.0745970745253094,-0.0473621487548668,0.0899652774922163,0.2004435516537827,0.0493012023913524,-0.0969763960364936,0.0106800714646232,0.0023777972330461,0.0199267675503875,-0.0275409511551472,-0.113325383117295,-0.137836412021314,0.0702469226582566,-0.1617312451784028,-0.1124015446662124,0.1359154274495106,-0.1354950384370513,0.0365164362384855,-0.151333973581094,0.0059702894357032,0.0899402707473775,-0.1249893060046815,-0.0587089817884994,0.1006755166428289,-0.0811168946857728,-0.1270438474576334,0.0200720500604513,0.0009834925975751,0.0424389353977666,0.2588292260346522,0.0554481279906082,-0.0150012241400641,0.0272386395996121,-0.1643594295672863,-0.0804189327455408,-0.0418944249624338,0.0313754522415459,-2.441805126009503e-05,-0.0874587043730227,-0.3206676449289745
104,Tomina,Chuquisaca,2,Chuquisaca-Tomina,48.90523651994836,29.73407641117539,40.18063131929109,78.24383850566761,56.52909143670041,76.57760103580343,34.83440083698681,38.52274135747027,43.64172543703533,23.305054084137208,56.08140968091086,33.32399143177281,75.33555713838429,57.44079579845359,80.03242421041088,9.952307812248316,0.028184335730171,0.0150957118688395,-0.154641995851191,-0.0886968076772187,0.0361686861362781,-0.0079192236642863,0.0304841830935715,0.1156516922770327,0.0014193563912861,-0.0639197730427058,0.0298342962792553,-0.1515840213461548,-0.0210536837893714,-0.0488449907096659,0.0462728168207709,-0.0790874396826772,-0.1537929102738185,0.0251411010192582,-0.0783900373454158,-0.0598294170994022,0.0549691172028689,-0.0366054478388408,-0.1803573467396373,0.035576234569832,-0.0822856474013794,-0.0197094270331342,0.1038764797402518,0.2017314547096666,0.009238503282246,-0.1270989925360855,-0.021195829251786,-0.0475682356042097,0.0524498616164403,-0.0563208523097938,-0.1554102016995982,-0.1324127079304024,0.0674642846044068,-0.1346304917479718,-0.0933986421921198,0.1309337412031494,-0.1617045941898103,0.0181453941345279,-0.1488708394651531,0.0329687785019981,0.101250166894305,-0.1072264204195517,-0.0803965873171443,0.0841582788413904,-0.0809852159132721,-0.1237377849636991,0.0249794406585453,-0.0203639319479742,0.0165305085107383,0.2590693290045244,0.0109198824536056,-0.0207177572020756,0.0292009432848763,-0.1524990555834753,-0.0767759981736465,-0.0427067108405228,0.0656981925032376,-0.014101232111851,-0.070979995969413,-0.3357931373326234
105,Hernando Siles,Chuquisaca,2,Chuquisaca-Hernando Siles,55.09721694851009,46.88472765545322,46.77275798348539,82.95452069039516,50.14717932032293,82.00222895333359,60.65433024239975,51.077750364542666,53.63359916237193,37.68471660386319,63.20360949184281,37.70063866406355,65.16866253391623,49.61323400361841,82.86332896335082,15.450952619209716,0.1140198705800627,0.02998859506559,-0.1167985261663071,-0.1033931584944328,0.1303353253662981,-0.0835660539467276,-0.0109789069127328,0.2321209957514031,-0.0033608463063201,0.0182978079257911,-0.0453701790433804,-0.0931935195069145,0.006206350906534,0.0427012305282503,0.0132699320346983,-0.0189648620108095,-0.118781886877802,-0.0276501334807252,-0.0895621479471656,-0.0197744189205359,0.0390265124345878,-0.094916620924839,-0.1472108536083208,0.0470270533012922,-0.0781326502120789,0.0011893586478828,0.0716526796851418,0.1911845308342817,-0.0406728694895439,-0.137411528971682,-0.051116453909076,-0.1257132387563518,0.096341830902405,-0.1045764268199354,-0.2070208055375831,-0.1437829715252317,0.0165544178082164,-0.0548612276105806,-0.05341099329615,0.0271022815567095,-0.196132347161456,0.0051825065315206,-0.0975552397843285,0.0978106146817284,0.154850937229334,-0.076742192483887,-0.1416005982944956,0.122200991953345,-0.0749258002893457,-0.1054876387041557,0.0057558612833234,-0.0863028410188108,-0.0476929846555018,0.2002603490688079,-0.0410399820516236,0.0019870938662676,-0.0090862720667324,-0.1398580449427592,-0.0256781294580132,-0.031694668591364,0.1127756047413202,-0.0774669373791898,-0.0505515712524956,-0.2946237083119617
106,Yamparáez,Chuquisaca,2,Chuquisaca-Yamparáez,44.7911487538216,23.29361540868089,30.36536779599484,70.60124785837573,46.45851756778512,75.14184384171031,23.50099643676101,41.26557427239079,35.046138679059986,37.93463302908405,39.67527521984852,35.720830080504925,77.87258106480554,50.0,81.39969824811435,3.884934215400116,-0.0817867474001614,0.010021907836448,-0.1671492771052726,-0.070668395576346,-0.111466781200448,0.0427207105449722,0.0630065348662665,0.019155339886279,-0.0538946247959783,-0.1061910214184912,0.105350192802667,-0.1883267464102059,-0.0500027906767469,-0.0515504803383222,0.0401388666667207,-0.0861009472651339,-0.1459700279993769,0.0642828459040252,-0.0186002418618742,-0.0845274274942833,0.1177024998665035,-0.0180131470484397,-0.1728535267917632,-0.0189102158047505,-0.1049694332681304,-0.0653620297454327,0.0522921241124419,0.1775851720009879,0.0833307143808994,-0.0638682663877765,0.0378731387535961,0.020832458320215,-0.0216079791839159,-0.0418680168349174,-0.0988235586691824,-0.1483949268744253,0.0846040037944279,-0.1874682064517437,-0.1571493383499387,0.1263101181301149,-0.1223606488702388,0.0493053197603301,-0.1314975265681557,-0.0257356129763272,0.0797864628186673,-0.131271238632165,-0.0339856678610348,0.1072121252460889,-0.0808917449851266,-0.1309245654274453,0.0355235325002863,0.0327991931886296,0.0623250240776472,0.237949213288298,0.1401107204048859,-0.0056407185553888,0.0049888844118014,-0.1466588358876559,-0.0978226399419407,-0.0133576320565065,0.0317705075097923,0.0177446103395301,-0.1064562599375466,-0.3217401391952551
107,Nor Cinti,Chuquisaca,2,Chuquisaca-Nor Cinti,44.180475092808805,18.36835254610022,27.213682762788967,75.68214785195401,48.40869576440944,77.06945591194548,21.758454021705624,38.833585087710034,39.67690250121845,20.83006726858198,60.36369332213385,26.54773580739881,77.73743206853004,49.101817854586045,75.4031473408755,5.532817702826831,-0.0513297391821488,0.0248719825633664,-0.1561218237353784,-0.0502441441633713,-0.1066172572283627,0.0262982610088115,0.0527993458438192,0.0452729915850461,-0.0511869936404935,-0.0975201950597537,0.1161939238066155,-0.1494228724307638,-0.0318068634334393,-0.0279376636975084,0.0304782671396594,-0.0690763764819716,-0.100986740095525,0.0530705408258187,-0.0289537885937535,-0.0400245021782844,0.0934746487942708,-0.0579050825205231,-0.1635362029718021,-0.0165604794517477,-0.0931626034853604,-0.0835764742506912,0.0438990123561175,0.1553143700713235,0.0813967972948024,-0.0568034647331841,0.0580288974254565,0.0215758267247359,-0.0326713322363063,-0.0612261357386942,-0.094710432595072,-0.1361668320295307,0.0702612550674212,-0.1678091451990106,-0.134024210042933,0.1085488310737802,-0.1378225364552644,0.0518130423267145,-0.1071821023442476,-0.0213977990882977,0.0957125728804027,-0.1093789840451177,-0.0650667064484254,0.1162107005280814,-0.075806966508882,-0.1110233603896747,0.0045812604542527,0.0128030232664128,0.0358296322206676,0.1988819088354171,0.1592994767273708,0.0077684527612054,-0.0121171553554479,-0.1799463368739661,-0.1017560543527451,-0.0192152699580433,0.0533987016040947,0.0363553635728193,-0.1402494870667373,-0.2854302605818717
108,Belisario Boeto,Chuquisaca,2,Chuquisaca-Belisario Boeto,52.400002,40.240002,25.59,83.559998,61.70999900000001,78.669998,42.59,48.349998,50.32000000000001,32.77,58.599998,39.84,75.160004,66.669998,77.919998,3.8299999,0.0513825347932418,0.0222811061868843,-0.1535096482992381,-0.0987200299770377,0.0604083359526335,-0.0260914889249999,0.011975083385388,0.1592562613610406,-0.0097810546589943,-0.0448155086891379,0.0303402470174823,-0.1088375897705637,-0.024062773533276,-0.0370250777609999,0.0337588126423289,-0.0576818930370008,-0.1286379024367361,0.0053048993873915,-0.0899377759496455,-0.0236441679315005,0.0508524824302843,-0.0611740268505219,-0.1694150149249565,0.044056493301571,-0.0536755356880788,-0.0166275798610788,0.0815183183342949,0.1932302444459488,0.0011854137363528,-0.117884232810539,-0.0262492723908197,-0.047929325747533,0.0608826431705924,-0.0669999090111787,-0.1389639198425299,-0.1200377225874684,0.0688740050057683,-0.1085212899334407,-0.070233485021066,0.1220642242679736,-0.1725904860966769,0.0058781022939792,-0.1270860430990583,0.0546810720284806,0.1230344615467281,-0.1095081529419441,-0.1030780740032426,0.1204215359856708,-0.0739531600025243,-0.1090739544877954,0.0124984281939714,-0.0277086212509684,0.0038771532270539,0.2372219368247201,-0.0095475844375761,-0.0044377587005273,0.0362046883961391,-0.1621016898126188,-0.0638101680246409,-0.0502423172773518,0.0672497038810386,-0.0189938100260308,-0.0866375484884958,-0.3210726923347898
109,Sud Cinti,Chuquisaca,2,Chuquisaca-Sud Cinti,47.23672818343447,24.40982757884593,37.710255632452565,74.57787189125453,45.70192616752223,81.03106158823421,28.15551154617318,41.79948238606988,48.927387978853794,19.37655824176237,74.48905216585372,31.773984842128936,64.1084451392718,44.41350465019275,79.39883692244229,12.251471183500245,-0.0030660281461365,0.0349820772788895,-0.137497769821257,-0.0618249343420033,-0.0339166302922773,-0.0213582265857232,0.0136601069527245,0.1110960850747553,-0.0518571521719155,-0.0608541053006801,0.0616744930501918,-0.1060851825782966,-0.0226436600789662,0.0025337839827975,0.0076436201816559,-0.0387326287590442,-0.1004470247032294,0.0226630348423958,-0.0522216175999941,-0.0042542534863605,0.0724037655690908,-0.0822874801956918,-0.1431687106834983,0.0035162529991223,-0.0771603323676596,-0.075665626634288,0.0323633496855481,0.1616049937424312,0.0508598369204114,-0.0906738130602212,0.0222059416919563,-0.0198766437864959,-0.0042408558390831,-0.0775236189720521,-0.1090540661130228,-0.1372506155435381,0.0586955580542032,-0.1344610118678089,-0.0996806428343457,0.0738787942983775,-0.1673837936376054,0.0386450085824548,-0.0905472944368965,0.0196521662489051,0.1089974785554883,-0.0926875500907516,-0.1042707005480783,0.1292867447714326,-0.0824954588660536,-0.1098847847539772,0.0043622812028204,-0.0188182447435365,0.0131515981570461,0.1804475394520245,0.0956669681740771,0.0174200519260127,-0.0092953648014798,-0.1700245067957683,-0.091964795178995,-0.0288283377260161,0.0729550986567927,-0.0036467658666549,-0.1086759473849894,-0.2758878085170897
110,Luis Calvo,Chuquisaca,2,Chuquisaca-Luis Calvo,49.82053099941472,39.71172730586515,46.858577831584896,64.64635694501426,56.112768691583305,76.64174547896293,51.75502634809534,43.55674725112517,33.87552089528068,32.62712883336063,67.41554503322843,34.460161174072105,60.471642856122685,62.70150257769636,69.2289633714507,7.74262677408532,0.1410302021533507,0.0500956639285986,-0.143828052112566,-0.0764837481574083,0.10905459825488,-0.0786777851864569,0.0198481990876413,0.2987629827067716,-0.0750872520221184,0.0542632553755247,-0.0617142416180889,-0.0276517274293011,0.0528202131971803,0.0272957593774893,-0.0162867195578144,-0.0091604691146864,-0.0680364542119867,0.0145394720737649,-0.0423445895556368,-0.003371828509333,0.0669252564346708,-0.0581240414174625,-0.141490584089573,0.1059487314606458,-0.0917207157335809,0.0519347918784546,0.0382144787521623,0.2446616726914721,-0.0110020855085303,-0.0655185954195163,-0.0894138170326411,-0.1534424532234004,0.1066342566678726,-0.1391802439713561,-0.1440123845567387,-0.0923994547024717,-0.0406889466908145,0.0172106555539615,-0.023484118970772,0.0440822205249487,-0.1503905513532808,-0.0052563768416733,-0.0473745741714933,0.1368095821340526,0.185783869103647,-0.1062607048206662,-0.1568047175770206,0.068449209868803,-0.050031230987005,-0.101857840222509,-0.0084760059671215,-0.0713012467690898,-0.1239428151430554,0.2145985901170851,-0.0938326464105244,-0.0332869443881444,-0.0093488118220373,-0.1503548841010112,-0.0065731012216133,-0.0707392644918774,0.073988307812992,-0.0731244912256157,-0.0318870747505097,-0.2580406412185259
