prov_id,pop_sum,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
101,265610.81201705616,-0.061507226792949364,0.001246586813208571,-0.14347895115095807,-0.07968445140208784,-0.09018734561292666,0.02690209926371458,0.06395712885251133,0.029079208626200705,-0.09139045120719966,-0.1045408153746872,0.08634538147007956,-0.17186269142576868,-0.05682125177291055,-0.04417209674052858,0.017240499228359057,-0.08856792084233185,-0.11651652055817956,0.04775388099179012,0.0143944570602732,-0.07597084556256067,0.12209819883208632,-0.035615821823956256,-0.15574972241314566,-0.02944997889601507,-0.1049910142329302,-0.033785699900147445,0.037125500185433494,0.1664597650052025,0.07121192892611944,-0.06122367922903025,0.03110278036172369,0.00820182016755847,-0.015654430108700833,-0.07229812185085775,-0.06507100367176656,-0.1628693423348235,0.04651463373424427,-0.1908928946835916,-0.18843330089780386,0.11412803650804844,-0.1380943063897582,0.03894324852357044,-0.14341872299872452,-0.0019822381456996944,0.0723738810136154,-0.09015039608596696,-0.053774540198225515,0.10914095675332525,-0.07849045150999756,-0.13310258943524475,0.03207795274267309,0.0542822414584322,0.018270486543609504,0.24464380323582463,0.10839355474223084,-0.03433006268570433,0.01681411642890201,-0.1293965602946144,-0.0766951582164145,-0.027956897723393145,0.04188879627042723,-0.0006774176002531412,-0.12148654320931847,-0.32907616032710807
102,20802.732953525272,0.01572277290211138,-0.004251395820705704,-0.14817088786013322,-0.07787468464439136,0.0061789980536646645,-0.005519591507577615,0.04702896720443274,0.07780352185098877,-0.0007437897303888461,-0.06779436564313406,0.04789869118036341,-0.1650672186031907,-0.0015664027844220394,-0.04797287795946501,0.04269125913783384,-0.07557197982514793,-0.15060947675480404,0.04470010376953266,-0.09796003191221533,-0.06800163327213839,0.0503910484433793,-0.042982630539475125,-0.19319635460719325,0.024354607758140284,-0.08030907488554871,-0.04697727751539524,0.10490374762736199,0.1998200480401427,0.046487467211247836,-0.11838132222474132,0.005950687187739213,-0.03694670948419874,0.017014541718686278,-0.026076605738651035,-0.15854482851297055,-0.1549550359526149,0.0683287873185166,-0.1430545738982729,-0.1012515577165326,0.12981360398832587,-0.13855017943838654,0.029139725867606284,-0.15577432508942846,-0.008804573500906172,0.09441874613231076,-0.08745917846660535,-0.08432532365254686,0.10025568740668762,-0.08687658627606719,-0.1219165854605294,0.007201395741534631,-0.02180303365570926,0.02665437014809881,0.24358639555328604,0.0583905430832074,-0.031022623171848132,0.025392427841233765,-0.16824025793437083,-0.10732108402259753,-0.023731034718719006,0.0585800744571874,0.009456155214466902,-0.08136883409935797,-0.3145076865403019
103,36855.744306042965,-0.029991451693571834,0.019852553676396684,-0.16851666940521223,-0.08876153128249202,-0.04908060759593,0.020608830270364264,0.04441534190617572,0.07341563797345546,-0.03624625174159296,-0.09628780506632682,0.06694910044109666,-0.18118754390108407,-0.03747837113416069,-0.07089966617333686,0.0433236710886879,-0.09425751400301963,-0.13788962360941212,0.055323914464556395,-0.05149364687330414,-0.06246082859983017,0.08696710025532113,-0.02756829512019937,-0.17878296532561955,0.007492742635068696,-0.08423842798126029,-0.04915511134773232,0.08956170491280165,0.20000300909091212,0.04999582191404886,-0.09800228189472217,0.010527672170415349,0.0030285546845492776,0.016075831367419552,-0.037896304801468945,-0.10722001199351916,-0.13590868134689785,0.0688877936829884,-0.16539630740817152,-0.12256372312956114,0.13762714213847171,-0.127711644002533,0.03744766982012081,-0.15041318058652373,0.00872506846926421,0.0860924048440584,-0.12724785776201097,-0.04963240075305463,0.09256186100574011,-0.08257077329832255,-0.13012634124222386,0.025388174052570527,0.010561642592271507,0.038969117988278505,0.25910661624868164,0.0658136274014786,-0.011996899801780326,0.027168663428932156,-0.15513461400958015,-0.0847804177059428,-0.038988717419955174,0.034127099366185555,-0.0017670648772956598,-0.08288338576482318,-0.3203656750348272
104,29952.376995382136,0.022073024267193587,0.015429660741699549,-0.1553525125548981,-0.08785675222639523,0.02937478667424795,0.002584954050068558,0.036457066599667354,0.10940700315245785,-0.0036972776425752978,-0.0725425446460898,0.03158142053898978,-0.1596847973531137,-0.026661991561003608,-0.05645299260452372,0.0519722137334489,-0.08718796504269284,-0.14404443392562866,0.03207865187800216,-0.06970916752848087,-0.06606276149601466,0.06535663614793924,-0.021666743222567078,-0.18558183032935946,0.03889914203628218,-0.08786822362528698,-0.018919914871663578,0.10792472038387203,0.20752731478710287,0.012079214801681965,-0.12719992586355297,-0.0230320242095882,-0.04718266616422022,0.05237210804055565,-0.06383732133103134,-0.14859679098182982,-0.12648290512809257,0.0663387803879664,-0.1398753093955964,-0.09864681341390226,0.13993993784363082,-0.15680903292248852,0.021533139582734378,-0.1502624482488269,0.03511074298421408,0.09802766220892649,-0.11298862749004375,-0.07096572628312893,0.07155993281133527,-0.08183978761342972,-0.12612868060121843,0.029058075978766584,-0.008136634514009226,0.014167954404824015,0.26579148188178287,0.018347385965052206,-0.01964932851909839,0.03071018374125705,-0.14965895057699738,-0.08172743209888887,-0.04131813837285373,0.06784389519853751,-0.014796756411596773,-0.066280631243042,-0.33691592802867715
105,26719.52931659021,0.11144594784256852,0.03046198211961771,-0.10370045902634917,-0.10286829152999384,0.12719342794713104,-0.06938422938030915,0.000926096583310977,0.2476719843458561,-0.015579364996784273,0.01939343626149619,-0.0536733057970333,-0.091922523590138,0.006215577354158134,0.03836402326423078,0.02120288007203353,-0.021266236333075252,-0.10096603903249297,-0.018816025133801633,-0.07031698630573141,-0.025599774467041102,0.05237410882237824,-0.07574112705505946,-0.14638389154625842,0.0632046146266006,-0.09685858502057235,0.01608389642043501,0.06895866805653039,0.20364682067471843,-0.05224355867758671,-0.14019712000922768,-0.06305936742148248,-0.1319580714192626,0.10632330347385839,-0.12269625594647048,-0.1950410357929947,-0.12255536272390213,0.013700809837329134,-0.04347593680813972,-0.060334706632892525,0.034714747935755456,-0.1937021946293062,0.007704386698135211,-0.09419126236085956,0.12152370163767975,0.16862501103938696,-0.08541515352804249,-0.13386927798089163,0.09360891772760235,-0.08338499420003789,-0.10708867045891785,0.009373492790233825,-0.06938134270013956,-0.06788132890716572,0.21040609736160018,-0.038552261134725534,0.004683514800676079,-0.009618669036619041,-0.11968864069770291,-0.020295221414817457,-0.03191812442747855,0.113310825324974,-0.0956031014114546,-0.03909559661121956,-0.2997085758402776
106,24527.84769663021,-0.08386199968411408,0.0219848182072412,-0.16346250380279242,-0.06934995138135404,-0.11633795681327079,0.056384743643544885,0.0703933460546667,0.013278398925324175,-0.050580474457299004,-0.1130117432963881,0.10201581233049148,-0.20023729830016662,-0.060021566280890705,-0.05224456376236401,0.04203726050560721,-0.09200588829680428,-0.15127581188207123,0.05958705024377398,-0.006261784349107916,-0.0993312337434758,0.136277385869557,-0.011410816169386283,-0.1657939105504711,-0.02094276556965938,-0.11721368713758401,-0.06511001069945137,0.06107840038888698,0.1748798906338104,0.07287613307045628,-0.06609068626787956,0.034729050995390524,0.021678115986110233,-0.014212596250540234,-0.05577033554790579,-0.10094933040911536,-0.14897682896951484,0.07857665554410842,-0.19349870259889212,-0.1664684804181073,0.12020696780148106,-0.11228950422339513,0.04638145908759039,-0.13396447641753295,-0.021265049595023858,0.07349131264573978,-0.13373137426965115,-0.025222225320398705,0.0844663611782283,-0.08006119115677748,-0.13129682900867512,0.03878316980026444,0.03891862707751677,0.05167350371938407,0.24038948612358105,0.13925650584366553,-0.013071795027886586,0.0006756987559361548,-0.132303262064641,-0.10006966736386565,-0.01157523862979261,0.033653514671594435,0.025537065321206764,-0.10487760063903166,-0.3201971915072997
107,69352.40866289302,-0.06054398510298454,0.032950345786247066,-0.15220140617546854,-0.04903309198057086,-0.11898865377590406,0.03842403523645806,0.05483297133089058,0.03903205321801919,-0.057912196025540943,-0.10373395647178958,0.1204599661594025,-0.15778386888759058,-0.0421747036985379,-0.029547374474165018,0.033946457300444995,-0.07166385213854964,-0.09824778232847296,0.05061891806672993,-0.011469516320780667,-0.047462949143249965,0.10709553893487404,-0.05128613313180779,-0.15817328398566305,-0.02148230752564182,-0.10485563541954508,-0.08570724858309764,0.03842375715454022,0.1519243682831669,0.08268664445385995,-0.05582914211440488,0.053318691288779224,0.023829125257576345,-0.0417337028495524,-0.07270274883390586,-0.08497245032506644,-0.1372305727060879,0.07095627788807941,-0.17256494151893625,-0.14769523780150876,0.10482278976386451,-0.12446054707353726,0.05360969861541503,-0.10519138890545855,-0.015084128864183338,0.09048343424786949,-0.11180148794329225,-0.05566062484017322,0.10359330426349185,-0.07294534911340662,-0.11314052302581981,0.007094344374069145,0.022822209056334482,0.03303379456420738,0.19748957081008378,0.1676479061652371,0.009892532369242932,-0.014464701068774965,-0.17017380358852083,-0.1075316848025326,-0.018618763053393557,0.05647311286979494,0.03684135821912218,-0.1394589889703986,-0.28285961991651615
108,9221.90024679103,0.045470163349049,0.0227863487475524,-0.1540616964317999,-0.0955014836864014,0.0444650469252543,-0.0189668090774058,0.0181202610644308,0.1472923464769673,-0.014878404218187502,-0.05477259589905271,0.039851875667228,-0.1171451762512932,-0.0331988567232113,-0.0439707979721837,0.0395239899079605,-0.0676404626447342,-0.1172529289186465,0.0148789082923842,-0.0844634937472776,-0.0247322189787691,0.05192370519097031,-0.0494749189074952,-0.1773559564970317,0.045572534813412,-0.0561467848266274,-0.0151000427609713,0.0840453512150404,0.189334217167348,0.0033261473886303,-0.1151795326223205,-0.0231661658837896,-0.0405564876181203,0.05654968374625329,-0.0718630144463792,-0.133405293464199,-0.11053695008464111,0.0669281151709706,-0.1152139000657853,-0.0739961723919499,0.1371628610060574,-0.1722755772091781,0.011604914764142,-0.1328156957558876,0.0508845879691714,0.11489431756174628,-0.11631563864942211,-0.0936608834430091,0.1097892299901121,-0.0754644833951624,-0.11005140692921941,0.016612072487975,-0.0159124542678072,0.0067340849523896,0.2448905461423724,-0.0015080501934683,-0.0031655611371682996,0.0404544452287328,-0.1637645567890248,-0.0654972550058162,-0.0491902626163598,0.0689115770178515,-0.015318871813098198,-0.0870562046544671,-0.3208389190141134
109,22347.846864042043,-0.024265258014083742,0.047246403190485786,-0.13077843371721745,-0.05462576887496967,-0.06728625081968488,0.005416523231093456,0.02348585081494052,0.09366598224331364,-0.06976824104322049,-0.07864578739406908,0.07565220041083942,-0.12227494335574138,-0.042501235819305684,-0.0074568158022576495,0.013621802673440781,-0.04643841030650568,-0.09036022659319269,0.02415903704909004,-0.025572458951792873,-0.011599887077382081,0.09264464735187668,-0.06892831308172888,-0.1399849308934526,-0.005233402933896287,-0.09580797816661167,-0.0799304816445901,0.027758466516835993,0.15522569927570623,0.05595964268245162,-0.08446320650686845,0.0195732936188728,-0.01129440193316619,-0.02413674681867219,-0.09269659928074736,-0.08276979345400008,-0.13425472611854486,0.06466652869772298,-0.14509747663048805,-0.12184546558273822,0.0794224313298991,-0.14414622508826053,0.048341093711943214,-0.09177557424628889,0.02157079285977074,0.09253344723406105,-0.09752212845913877,-0.09053981763673949,0.107120022915779,-0.08059294354272656,-0.11616859477277788,0.00602311643451851,0.00624948098124123,0.016085230580425863,0.17973707701439157,0.11868719485877073,0.023370365170675957,-0.007284262487460183,-0.15524696756338868,-0.10986325880292168,-0.024641914355432833,0.07582749003742642,0.0003699833526717491,-0.11073765427695204,-0.27072892854251757
110,16907.66608188134,0.13150913829352034,0.05021171352507069,-0.13737720611968532,-0.07978422091820186,0.10698310845025813,-0.07007783212261107,0.024876546360762235,0.2966630610692728,-0.07369963045041056,0.04269669079259064,-0.06480215955642855,-0.04052079872280657,0.05089579176486102,0.020245375060746085,-0.006241321231456097,-0.017041535192056246,-0.06408736235292975,0.01640389214885043,-0.038298938275445275,-0.008069911084164213,0.07296481817908361,-0.04629776772426313,-0.1497333227770509,0.10463481159178767,-0.09864628682853491,0.049808426990226765,0.04537385015980242,0.2477230978315798,-0.015155098995479392,-0.0751361957137751,-0.09082414136494646,-0.15306476000699917,0.1063954571860197,-0.13582451309909024,-0.13955292103932437,-0.0891471142599372,-0.03600515867573706,0.010958451805165153,-0.02999486113648458,0.049372229066558165,-0.15166142050672846,-0.003079195402163933,-0.053809526898277865,0.14467733311979242,0.18362024826993528,-0.11065548516710931,-0.14709887823878218,0.05535077031416369,-0.05945854543372285,-0.10934514973253406,-0.0029459898872658025,-0.06127523821039612,-0.11951208248805902,0.22462617980533992,-0.08032652400545431,-0.034498015375266464,-0.005202311372136582,-0.14545561160050394,-0.008307869736686992,-0.06879680488506888,0.07266455307170278,-0.08657365703084371,-0.024593745335246588,-0.26604084052127885
