prov_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
101,-0.043572598704174105,-0.008057340531490449,-0.16278236158718648,-0.08914405906370136,-0.07173347515395709,0.025529615937630805,0.04734235952840496,0.048428415031164795,-0.060474913715662756,-0.10412594576705969,0.08876906144661757,-0.1634063878718647,-0.03753547309509949,-0.05291298664209849,0.03883538679173271,-0.0748492100883072,-0.13700594309022407,0.04919293735253781,-0.04536807617242246,-0.06388467337060992,0.089838851133715,-0.04801340064412121,-0.1670460095915199,-0.0003146725006733515,-0.08104008938836563,-0.05561207148997286,0.05215495004277136,0.17821717673949053,0.08644644095929295,-0.06964764608629767,0.030293448463269174,0.0009064523288841526,0.002342601515422202,-0.04406683992891123,-0.10355340750731126,-0.15562285799681055,0.07413129822794685,-0.17393064493823893,-0.14119718529102473,0.12272204932640803,-0.149055979684669,0.05161041172999306,-0.13892800508118558,-0.011960354595926091,0.08672923282895596,-0.09607039092834428,-0.06757688846672054,0.12702741973177697,-0.07873917083864129,-0.12683124631823917,0.015756929623160644,0.02292899983923589,0.04308081693116811,0.24504651572048478,0.09440871049834156,-0.012725245145675777,0.016501710218942436,-0.1615320802586886,-0.08518367620599183,-0.019861077068823868,0.04096728242250438,0.00403481184074333,-0.10991824471671635,-0.33726963075424615
102,0.01591430925253766,-0.0018666709731435006,-0.14932588717190595,-0.07866303998638338,0.004063949259247905,-0.008345228014970242,0.04404323936005033,0.07857085364409887,-0.00017227309223943828,-0.06380941554536906,0.04973147917040466,-0.16108554608248074,0.0005216011762903565,-0.04442354693083795,0.03638549113820947,-0.0722073562643575,-0.1512931295111329,0.0438077653684512,-0.09659398581215271,-0.0671738213663161,0.04918392200387516,-0.04637728450310976,-0.1908309212753918,0.020671824777316505,-0.07956477281095997,-0.04935821833589981,0.09906608719631181,0.1962723504299857,0.050796482113692504,-0.11619683380187647,0.0072373619807917944,-0.03486922302994762,0.01350652233854982,-0.023368815029815367,-0.15836594719043928,-0.15794009993732025,0.06762679748634252,-0.14194692422828878,-0.10071425882326884,0.12602137473585168,-0.13824786433275255,0.029352285359427775,-0.15379883818796447,-0.009991817458609198,0.09446987021420138,-0.08622362222535263,-0.08853492555284409,0.10839078051894885,-0.08504618402511346,-0.12006351590445835,0.005954179832542856,-0.02320339019269438,0.028731693191619896,0.2392899842563922,0.057571450590461724,-0.02968537539618484,0.02576467313194956,-0.1689535083263035,-0.10508165205692357,-0.024366501683031845,0.05691124672917179,0.011280196204341944,-0.08428828557728008,-0.3118353784096898
103,-0.021450932787584136,0.015857092930936793,-0.1730456216945187,-0.08838274331220407,-0.04144942605039966,0.011700505420399781,0.04160216850802934,0.07800642291723302,-0.031045876372215547,-0.09143739730694557,0.07081744446211653,-0.1745163050272027,-0.032112616036560016,-0.07168557453201269,0.04032790679385863,-0.08977861572589498,-0.14404716541819024,0.05271731928533667,-0.06461462930305362,-0.05832352327324747,0.0736585507914302,-0.03789757468803625,-0.17928414395419406,0.010773908624142788,-0.07459707452530942,-0.047362148754866815,0.08996527749221632,0.20044355165378272,0.049301202391352446,-0.09697639603649363,0.010680071464623275,0.002377797233046171,0.019926767550387595,-0.02754095115514724,-0.11332538311729506,-0.13783641202131405,0.07024692265825662,-0.1617312451784028,-0.11240154466621241,0.13591542744951063,-0.1354950384370513,0.03651643623848551,-0.15133397358109407,0.005970289435703226,0.08994027074737754,-0.12498930600468156,-0.05870898178849948,0.10067551664282895,-0.08111689468577282,-0.1270438474576334,0.02007205006045135,0.0009834925975751598,0.04243893539776667,0.2588292260346522,0.05544812799060821,-0.01500122414006418,0.02723863959961216,-0.16435942956728636,-0.08041893274554086,-0.041894424962433854,0.03137545224154599,-2.441805126009503e-05,-0.08745870437302275,-0.32066764492897454
104,0.028184335730171064,0.015095711868839514,-0.15464199585119107,-0.08869680767721876,0.0361686861362781,-0.007919223664286351,0.030484183093571506,0.11565169227703274,0.0014193563912861052,-0.06391977304270582,0.029834296279255303,-0.15158402134615484,-0.02105368378937146,-0.04884499070966598,0.046272816820770966,-0.07908743968267724,-0.15379291027381858,0.02514110101925829,-0.07839003734541582,-0.05982941709940226,0.05496911720286894,-0.03660544783884088,-0.1803573467396373,0.035576234569832055,-0.08228564740137949,-0.019709427033134292,0.10387647974025183,0.20173145470966664,0.009238503282246091,-0.12709899253608556,-0.021195829251786046,-0.04756823560420976,0.052449861616440316,-0.05632085230979383,-0.15541020169959824,-0.13241270793040247,0.0674642846044068,-0.13463049174797184,-0.09339864219211982,0.13093374120314943,-0.16170459418981034,0.018145394134527943,-0.14887083946515317,0.03296877850199817,0.10125016689430509,-0.10722642041955177,-0.08039658731714439,0.08415827884139045,-0.08098521591327212,-0.12373778496369914,0.02497944065854539,-0.020363931947974225,0.016530508510738347,0.25906932900452445,0.010919882453605655,-0.020717757202075675,0.02920094328487632,-0.15249905558347537,-0.07677599817364657,-0.04270671084052288,0.06569819250323766,-0.01410123211185109,-0.07097999596941307,-0.3357931373326234
105,0.11401987058006278,0.02998859506559008,-0.11679852616630713,-0.10339315849443285,0.1303353253662981,-0.08356605394672764,-0.010978906912732832,0.23212099575140313,-0.003360846306320156,0.0182978079257911,-0.04537017904338043,-0.09319351950691453,0.006206350906534061,0.0427012305282503,0.01326993203469835,-0.01896486201080959,-0.118781886877802,-0.027650133480725248,-0.08956214794716566,-0.019774418920535962,0.039026512434587886,-0.09491662092483903,-0.14721085360832087,0.047027053301292226,-0.07813265021207898,0.0011893586478828148,0.07165267968514188,0.19118453083428172,-0.040672869489543954,-0.13741152897168202,-0.05111645390907608,-0.1257132387563518,0.09634183090240507,-0.1045764268199354,-0.20702080553758317,-0.1437829715252317,0.016554417808216478,-0.05486122761058066,-0.05341099329615001,0.027102281556709542,-0.19613234716145603,0.00518250653152068,-0.0975552397843285,0.09781061468172843,0.15485093722933407,-0.07674219248388707,-0.1416005982944956,0.12220099195334509,-0.07492580028934578,-0.10548763870415576,0.005755861283323459,-0.08630284101881083,-0.04769298465550182,0.20026034906880794,-0.041039982051623625,0.0019870938662676944,-0.009086272066732409,-0.13985804494275925,-0.025678129458013243,-0.03169466859136408,0.11277560474132028,-0.07746693737918982,-0.05055157125249568,-0.2946237083119617
106,-0.08178674740016148,0.010021907836448086,-0.1671492771052726,-0.07066839557634604,-0.11146678120044808,0.04272071054497221,0.06300653486626656,0.019155339886279075,-0.053894624795978376,-0.10619102141849121,0.10535019280266707,-0.1883267464102059,-0.050002790676746935,-0.051550480338322296,0.04013886666672077,-0.08610094726513391,-0.14597002799937697,0.06428284590402523,-0.018600241861874235,-0.08452742749428335,0.11770249986650358,-0.018013147048439725,-0.17285352679176327,-0.01891021580475053,-0.10496943326813042,-0.06536202974543277,0.05229212411244191,0.17758517200098795,0.08333071438089941,-0.06386826638777657,0.03787313875359619,0.02083245832021506,-0.021607979183915934,-0.04186801683491745,-0.09882355866918247,-0.1483949268744253,0.08460400379442792,-0.18746820645174375,-0.1571493383499387,0.12631011813011497,-0.12236064887023887,0.0493053197603301,-0.1314975265681557,-0.025735612976327208,0.07978646281866733,-0.13127123863216505,-0.03398566786103485,0.10721212524608896,-0.08089174498512668,-0.13092456542744535,0.0355235325002863,0.032799193188629644,0.06232502407764726,0.23794921328829802,0.14011072040488595,-0.005640718555388852,0.004988884411801449,-0.14665883588765594,-0.09782263994194075,-0.013357632056506516,0.03177050750979231,0.017744610339530117,-0.1064562599375466,-0.3217401391952551
107,-0.051329739182148844,0.02487198256336643,-0.15612182373537845,-0.050244144163371314,-0.10661725722836278,0.026298261008811538,0.05279934584381928,0.04527299158504611,-0.05118699364049356,-0.09752019505975378,0.11619392380661552,-0.14942287243076388,-0.031806863433439324,-0.027937663697508424,0.030478267139659416,-0.06907637648197162,-0.10098674009552507,0.053070540825818746,-0.02895378859375357,-0.040024502178284474,0.0934746487942708,-0.05790508252052312,-0.1635362029718021,-0.016560479451747774,-0.09316260348536044,-0.08357647425069124,0.043899012356117526,0.15531437007132354,0.0813967972948024,-0.05680346473318418,0.05802889742545656,0.021575826724735982,-0.03267133223630636,-0.0612261357386942,-0.09471043259507206,-0.13616683202953073,0.07026125506742129,-0.16780914519901063,-0.13402421004293302,0.10854883107378023,-0.1378225364552644,0.051813042326714596,-0.10718210234424769,-0.021397799088297715,0.09571257288040279,-0.1093789840451177,-0.06506670644842547,0.11621070052808144,-0.07580696650888202,-0.11102336038967477,0.004581260454252751,0.012803023266412823,0.03582963222066768,0.19888190883541712,0.15929947672737088,0.007768452761205476,-0.012117155355447981,-0.17994633687396616,-0.1017560543527451,-0.019215269958043315,0.05339870160409479,0.03635536357281932,-0.1402494870667373,-0.28543026058187176
108,0.0513825347932418,0.0222811061868843,-0.1535096482992381,-0.0987200299770377,0.0604083359526335,-0.0260914889249999,0.011975083385388,0.1592562613610406,-0.0097810546589943,-0.0448155086891379,0.0303402470174823,-0.1088375897705637,-0.024062773533276,-0.0370250777609999,0.0337588126423289,-0.0576818930370008,-0.1286379024367361,0.0053048993873915,-0.0899377759496455,-0.0236441679315005,0.0508524824302843,-0.0611740268505219,-0.1694150149249565,0.044056493301571,-0.053675535688078896,-0.0166275798610788,0.0815183183342949,0.1932302444459488,0.0011854137363528,-0.117884232810539,-0.0262492723908197,-0.047929325747533,0.0608826431705924,-0.0669999090111787,-0.1389639198425299,-0.12003772258746842,0.0688740050057683,-0.1085212899334407,-0.070233485021066,0.1220642242679736,-0.1725904860966769,0.0058781022939792,-0.1270860430990583,0.0546810720284806,0.1230344615467281,-0.1095081529419441,-0.1030780740032426,0.12042153598567082,-0.0739531600025243,-0.1090739544877954,0.0124984281939714,-0.027708621250968495,0.0038771532270539997,0.2372219368247201,-0.0095475844375761,-0.0044377587005273,0.0362046883961391,-0.1621016898126188,-0.0638101680246409,-0.05024231727735181,0.0672497038810386,-0.0189938100260308,-0.0866375484884958,-0.3210726923347898
109,-0.0030660281461365375,0.03498207727888955,-0.13749776982125708,-0.06182493434200336,-0.03391663029227737,-0.02135822658572324,0.01366010695272457,0.11109608507475538,-0.051857152171915534,-0.06085410530068016,0.06167449305019184,-0.10608518257829665,-0.022643660078966232,0.0025337839827975083,0.007643620181655932,-0.038732628759044235,-0.10044702470322946,0.022663034842395843,-0.05222161759999415,-0.0042542534863605225,0.07240376556909087,-0.08228748019569188,-0.14316871068349837,0.003516252999122386,-0.0771603323676596,-0.075665626634288,0.03236334968554814,0.16160499374243129,0.05085983692041146,-0.09067381306022122,0.02220594169195637,-0.019876643786495937,-0.004240855839083135,-0.07752361897205214,-0.10905406611302289,-0.13725061554353815,0.05869555805420322,-0.13446101186780895,-0.09968064283434572,0.07387879429837751,-0.1673837936376054,0.038645008582454864,-0.09054729443689656,0.01965216624890515,0.10899747855548834,-0.09268755009075164,-0.10427070054807838,0.12928674477143265,-0.0824954588660536,-0.1098847847539772,0.004362281202820419,-0.018818244743536505,0.013151598157046153,0.18044753945202452,0.09566696817407712,0.017420051926012727,-0.009295364801479864,-0.1700245067957683,-0.091964795178995,-0.02882833772601611,0.07295509865679271,-0.0036467658666549615,-0.10867594738498947,-0.2758878085170897
110,0.14103020215335071,0.05009566392859864,-0.143828052112566,-0.0764837481574083,0.10905459825488009,-0.07867778518645695,0.019848199087641308,0.29876298270677165,-0.07508725202211845,0.05426325537552479,-0.061714241618088986,-0.027651727429301116,0.052820213197180395,0.02729575937748937,-0.016286719557814487,-0.00916046911468643,-0.06803645421198679,0.014539472073764988,-0.04234458955563688,-0.003371828509333034,0.06692525643467087,-0.058124041417462545,-0.14149058408957302,0.10594873146064585,-0.09172071573358095,0.05193479187845461,0.03821447875216238,0.24466167269147213,-0.011002085508530369,-0.06551859541951634,-0.08941381703264113,-0.15344245322340042,0.10663425666787268,-0.13918024397135617,-0.14401238455673876,-0.09239945470247174,-0.0406889466908145,0.01721065555396158,-0.02348411897077201,0.044082220524948756,-0.15039055135328083,-0.00525637684167338,-0.047374574171493336,0.13680958213405262,0.18578386910364703,-0.1062607048206662,-0.15680471757702066,0.06844920986880308,-0.050031230987005064,-0.10185784022250907,-0.008476005967121577,-0.07130124676908989,-0.12394281514305543,0.2145985901170851,-0.0938326464105244,-0.033286944388144446,-0.009348811822037386,-0.15035488410101125,-0.006573101221613344,-0.07073926449187741,0.073988307812992,-0.07312449122561575,-0.03188707475050979,-0.2580406412185259
