poly_id,asdf_id,mun,mun_id,dep,dep_id,prov_id,prov,dep_mun,dep_prov_mun,shapeID
102,170,Coripata,21402,La Paz,4,214,Nor Yungas,La Paz-Coripata,La Paz-Nor Yungas-Coripata,BOL-ADM3-33444609B52332460
60,171,Quiabaya,20604,La Paz,4,206,Larecaja,La Paz-Quiabaya,La Paz-Larecaja-Quiabaya,BOL-ADM3-33444609B75079070
56,172,Aucapata,20503,La Paz,4,205,Muñecas,La Paz-Aucapata,La Paz-Muñecas-Aucapata,BOL-ADM3-33444609B51912538
96,173,Ayo Ayo,21303,La Paz,4,213,Aroma,La Paz-Ayo Ayo,La Paz-Aroma-Ayo Ayo,BOL-ADM3-33444609B77019342
4,174,Azurduy,10201,Chuquisaca,2,102,Azurduy,Chuquisaca-Azurduy,Chuquisaca-Azurduy-Azurduy,BOL-ADM3-33444609B52543177
62,175,Tipuani,20606,La Paz,4,206,Larecaja,La Paz-Tipuani,La Paz-Larecaja-Tipuani,BOL-ADM3-33444609B93497004
30,176,La Paz,20101,La Paz,4,201,Murillo,La Paz-La Paz,La Paz-Murillo-La Paz,BOL-ADM3-33444609B95766629
57,177,Sorata,20601,La Paz,4,206,Larecaja,La Paz-Sorata,La Paz-Larecaja-Sorata,BOL-ADM3-33444609B93873258
89,178,La Asunta,21105,La Paz,4,211,Sud Yungas,La Paz-La Asunta,La Paz-Sud Yungas-La Asunta,BOL-ADM3-33444609B25803532
54,179,Chuma,20501,La Paz,4,205,Muñecas,La Paz-Chuma,La Paz-Muñecas-Chuma,BOL-ADM3-33444609B88180595
58,180,Guanay,20602,La Paz,4,206,Larecaja,La Paz-Guanay,La Paz-Larecaja-Guanay,BOL-ADM3-33444609B33390960
64,181,Teoponte,20608,La Paz,4,206,Larecaja,La Paz-Teoponte,La Paz-Larecaja-Teoponte,BOL-ADM3-33444609B45650655
63,182,Mapiri,20607,La Paz,4,206,Larecaja,La Paz-Mapiri,La Paz-Larecaja-Mapiri,BOL-ADM3-33444609B90372031
105,183,Charazani,21601,La Paz,4,216,Bautista Saavedra,La Paz-Charazani,La Paz-Bautista Saavedra-Charazani,BOL-ADM3-33444609B50407902
228,184,"Caiza ""D""",51102,Potosí,7,511,José María Linares,"Potosí-Caiza ""D""","Potosí-José María Linares-Caiza ""D""",BOL-ADM3-33444609B73754741
107,185,Copacabana,21701,La Paz,4,217,Manco Kapac,La Paz-Copacabana,La Paz-Manco Kapac-Copacabana,BOL-ADM3-33444609B22177467
5,186,Tarvita,10202,Chuquisaca,2,102,Azurduy,Chuquisaca-Tarvita,Chuquisaca-Azurduy-Tarvita,BOL-ADM3-33444609B65808761
208,187,Chaquí,50302,Potosí,7,503,Cornelio Saavedra,Potosí-Chaquí,Potosí-Cornelio Saavedra-Chaquí,BOL-ADM3-33444609B42666607
227,188,Puna,51101,Potosí,7,511,José María Linares,Potosí-Puna,Potosí-José María Linares-Puna,BOL-ADM3-33444609B15997979
229,189,Ckochas,51103,Potosí,7,511,José María Linares,Potosí-Ckochas,Potosí-José María Linares-Ckochas,BOL-ADM3-33444609B30593293
14,190,El Villar,10405,Chuquisaca,2,104,Tomina,Chuquisaca-El Villar,Chuquisaca-Tomina-El Villar,BOL-ADM3-33444609B60642341
28,191,Huacaya,11002,Chuquisaca,2,110,Luis Calvo,Chuquisaca-Huacaya,Chuquisaca-Luis Calvo-Huacaya,BOL-ADM3-33444609B90845226
59,192,Tacacoma,20603,La Paz,4,206,Larecaja,La Paz-Tacacoma,La Paz-Larecaja-Tacacoma,BOL-ADM3-33444609B27309972
16,193,Huacareta,10502,Chuquisaca,2,105,Hernando Siles,Chuquisaca-Huacareta,Chuquisaca-Hernando Siles-Huacareta,BOL-ADM3-33444609B13482689
15,194,Monteagudo,10501,Chuquisaca,2,105,Hernando Siles,Chuquisaca-Monteagudo,Chuquisaca-Hernando Siles-Monteagudo,BOL-ADM3-33444609B9106763
199,195,Potosí,50101,Potosí,7,501,Tomás Frías,Potosí-Potosí,Potosí-Tomás Frías-Potosí,BOL-ADM3-33444609B51923126
108,196,San Pedro de Tiquina,21702,La Paz,4,217,Manco Kapac,La Paz-San Pedro de Tiquina,La Paz-Manco Kapac-San Pedro de Tiquina,BOL-ADM3-33444609B67965715
270,197,Lagunillas,70701,Santa Cruz,8,707,Cordillera,Santa Cruz-Lagunillas,Santa Cruz-Cordillera-Lagunillas,BOL-ADM3-33444609B6445025
13,198,Villa Alcalá,10404,Chuquisaca,2,104,Tomina,Chuquisaca-Villa Alcalá,Chuquisaca-Tomina-Villa Alcalá,BOL-ADM3-33444609B92818499
12,199,Sopachuy,10403,Chuquisaca,2,104,Tomina,Chuquisaca-Sopachuy,Chuquisaca-Tomina-Sopachuy,BOL-ADM3-33444609B9397800
9,200,Icla,10304,Chuquisaca,2,103,Zudáñez,Chuquisaca-Icla,Chuquisaca-Zudáñez-Icla,BOL-ADM3-33444609B74292684
2,201,Yotala,10102,Chuquisaca,2,101,Oropeza,Chuquisaca-Yotala,Chuquisaca-Oropeza-Yotala,BOL-ADM3-33444609B38543160
18,202,Yamparáez,10602,Chuquisaca,2,106,Yamparáez,Chuquisaca-Yamparáez,Chuquisaca-Yamparáez-Yamparáez,BOL-ADM3-33444609B32418048
11,203,Tomina,10402,Chuquisaca,2,104,Tomina,Chuquisaca-Tomina,Chuquisaca-Tomina-Tomina,BOL-ADM3-33444609B38412786
213,204,Ocurí,50404,Potosí,7,504,Chayanta,Potosí-Ocurí,Potosí-Chayanta-Ocurí,BOL-ADM3-33444609B72440734
17,205,Tarabuco,10601,Chuquisaca,2,106,Yamparáez,Chuquisaca-Tarabuco,Chuquisaca-Yamparáez-Tarabuco,BOL-ADM3-33444609B73936756
6,206,Zudañez,10301,Chuquisaca,2,103,Zudáñez,Chuquisaca-Zudañez,Chuquisaca-Zudáñez-Zudañez,BOL-ADM3-33444609B5472183
106,207,Curva,21602,La Paz,4,216,Bautista Saavedra,La Paz-Curva,La Paz-Bautista Saavedra-Curva,BOL-ADM3-33444609B88989469
66,208,Pelechuco,20702,La Paz,4,207,Franz Tamayo,La Paz-Pelechuco,La Paz-Franz Tamayo-Pelechuco,BOL-ADM3-33444609B30997278
88,209,Palos Blancos,21104,La Paz,4,211,Sud Yungas,La Paz-Palos Blancos,La Paz-Sud Yungas-Palos Blancos,BOL-ADM3-33444609B83015549
65,210,Apolo,20701,La Paz,4,207,Franz Tamayo,La Paz-Apolo,La Paz-Franz Tamayo-Apolo,BOL-ADM3-33444609B25123274
313,211,Rurrenabaque,80304,Beni,1,803,José Ballivián,Beni-Rurrenabaque,Beni-José Ballivián-Rurrenabaque,BOL-ADM3-33444609B4331330
104,212,San Buenaventura,21502,La Paz,4,215,Abel Iturralde,La Paz-San Buenaventura,La Paz-Abel Iturralde-San Buenaventura,BOL-ADM3-33444609B85439426
314,213,Santa Ana de Yacuma,80401,Beni,1,804,Yacuma,Beni-Santa Ana de Yacuma,Beni-Yacuma-Santa Ana de Yacuma,BOL-ADM3-33444609B23560373
311,214,San Borja,80302,Beni,1,803,José Ballivián,Beni-San Borja,Beni-José Ballivián-San Borja,BOL-ADM3-33444609B36751060
310,215,Reyes,80301,Beni,1,803,José Ballivián,Beni-Reyes,Beni-José Ballivián-Reyes,BOL-ADM3-33444609B13357475
332,216,Puerto Gonzalo Moreno,90301,Pando,6,903,Madre de Dios,Pando-Puerto Gonzalo Moreno,Pando-Madre de Dios-Puerto Gonzalo Moreno,BOL-ADM3-33444609B85003487
321,217,Puerto Siles,80703,Beni,1,807,Mamoré,Beni-Puerto Siles,Beni-Mamoré-Puerto Siles,BOL-ADM3-33444609B80291858
315,218,Exaltación,80402,Beni,1,804,Yacuma,Beni-Exaltación,Beni-Yacuma-Exaltación,BOL-ADM3-33444609B10458910
308,219,Riberalta,80201,Beni,1,802,Vaca Díez,Beni-Riberalta,Beni-Vaca Díez-Riberalta,BOL-ADM3-33444609B93314585
326,220,Porvenir,90102,Pando,6,901,Nicolás Suárez,Pando-Porvenir,Pando-Nicolás Suárez-Porvenir,BOL-ADM3-33444609B95419155
328,221,Bella Flor,90104,Pando,6,901,Nicolás Suárez,Pando-Bella Flor,Pando-Nicolás Suárez-Bella Flor,BOL-ADM3-33444609B83803279
330,222,San Pedro,90202,Pando,6,902,Manuripi,Pando-San Pedro,Pando-Manuripi-San Pedro,BOL-ADM3-33444609B11509981
329,223,Puerto Rico,90201,Pando,6,902,Manuripi,Pando-Puerto Rico,Pando-Manuripi-Puerto Rico,BOL-ADM3-33444609B55981723
312,224,Santa Rosa,80303,Beni,1,803,José Ballivián,Beni-Santa Rosa,Beni-José Ballivián-Santa Rosa,BOL-ADM3-33444609B45825141
336,225,Ingavi,90402,Pando,6,904,Abuná,Pando-Ingavi,Pando-Abuná-Ingavi,BOL-ADM3-33444609B53699713
309,226,Guayaramerín,80202,Beni,1,802,Vaca Díez,Beni-Guayaramerín,Beni-Vaca Díez-Guayaramerín,BOL-ADM3-33444609B93580112
338,227,Villa Nueva-Loma Alta,90502,Pando,6,905,Federico Román,Pando-Villa Nueva-Loma Alta,Pando-Federico Román-Villa Nueva-Loma Alta,BOL-ADM3-33444609B33507653
339,228,Santos Mercado,90503,Pando,6,905,Federico Román,Pando-Santos Mercado,Pando-Federico Román-Santos Mercado,BOL-ADM3-33444609B15181859
