prov_id,imds,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17
101,66.71476402540495,72.35112764049627,44.402016648374484,79.5478963713118,77.46943618757392,83.86747287191014,76.1373717038302,76.76680340594885,57.6780694852391,61.77733116827493,68.24261081387257,59.05231699537573,89.00214810324287,49.99104390996547,78.98199537865105,25.163635114981933
102,39.07116552503523,8.291352220767191,40.584175797849404,72.1069734784626,37.92312987902425,67.22966357102311,16.734075462768665,28.92578366682189,30.759657340681173,9.314243663789922,37.91246413266446,20.690007460907786,75.72230545583434,49.40423037061252,80.83154706564352,9.609587730707597
103,45.797269768667356,22.44094374960284,35.78541173889879,72.53958967353317,56.4786805457844,69.95222681304185,32.52720106613704,38.354785962437596,34.87160807660542,16.37564674270375,43.90100726746099,27.745606889014336,79.80765196519806,66.22506576032144,79.51727102244222,10.574225836727958
104,48.90523651994836,29.73407641117539,40.18063131929109,78.24383850566761,56.52909143670041,76.57760103580343,34.83440083698681,38.52274135747027,43.64172543703533,23.305054084137208,56.08140968091086,33.32399143177281,75.33555713838429,57.440795798453586,80.03242421041088,9.952307812248316
105,55.09721694851009,46.88472765545322,46.77275798348539,82.95452069039516,50.147179320322934,82.00222895333359,60.65433024239975,51.077750364542666,53.63359916237193,37.68471660386319,63.20360949184281,37.70063866406355,65.16866253391623,49.61323400361841,82.86332896335082,15.450952619209717
106,44.7911487538216,23.293615408680886,30.36536779599484,70.60124785837573,46.45851756778512,75.14184384171031,23.50099643676101,41.26557427239079,35.046138679059986,37.93463302908405,39.675275219848515,35.720830080504925,77.87258106480554,50.0,81.39969824811435,3.8849342154001163
107,44.180475092808805,18.36835254610022,27.213682762788967,75.68214785195401,48.40869576440944,77.06945591194548,21.758454021705624,38.833585087710034,39.67690250121845,20.83006726858198,60.36369332213385,26.54773580739881,77.73743206853004,49.101817854586045,75.4031473408755,5.532817702826831
108,52.400002,40.240002,25.589999999999996,83.559998,61.70999900000001,78.669998,42.59,48.349998,50.32000000000001,32.77,58.599998,39.84,75.160004,66.669998,77.919998,3.8299999
109,47.236728183434465,24.409827578845935,37.710255632452565,74.57787189125453,45.70192616752223,81.03106158823421,28.15551154617318,41.799482386069876,48.927387978853794,19.37655824176237,74.48905216585372,31.773984842128936,64.1084451392718,44.41350465019275,79.39883692244229,12.251471183500243
110,49.820530999414714,39.71172730586515,46.858577831584896,64.64635694501426,56.112768691583305,76.64174547896293,51.75502634809534,43.556747251125174,33.87552089528068,32.62712883336063,67.41554503322843,34.460161174072105,60.471642856122685,62.70150257769636,69.2289633714507,7.74262677408532
201,72.25350170233,80.63371286846821,55.37008544266872,75.48958826670983,74.31175041074421,76.54145335420324,67.04387733731822,87.48776864094853,67.58857021934413,71.72508714480972,84.51807849578347,83.00449276890507,93.32319871075674,63.06198330424134,66.26712699069334,37.30059912732258
202,53.267753135907746,38.59422321553615,30.5448210022753,73.25444997951946,61.34108285332191,62.573260513987236,40.58047698095742,56.013737103665754,50.84530016401693,50.876120541549426,64.41560132126581,49.10684064295729,87.35682548779157,49.99999999999999,76.49455043516531,7.162378995541578
